id,compileResultMsg,CondolenceText
enemy_000,"오, 새로운 몸이군! 약해 보여도 방심하면 큰코다칠걸?","헤헤, 아직은 내가 더 강한가 보네!"
enemy_001,가시는 적에게만 향한다. 내 등을 믿고 싸워라.,가시는 함부로 만지는 게 아니라고 했잖아.
enemy_002,침 한 방이면 끝이다. 누구를 먼저 쏠까?,독 한 방이면 충분했다!
enemy_003,물속이든 육지든 먹잇감은 놓치지 않아.,"먹잇감이 스스로 다가오다니, 운이 좋았군."
enemy_004,천천히... 하지만 확실하게 독이 퍼질 거다.,몸이 저릿저릿했지? 그게 내 독이다.
enemy_005,……땅을 가른다. 길을 만든다.,……포식 완료.
enemy_006,서두를 필요는 없다. 끝까지 살아남는 건 나니까.,서두르기만 해서는 이길 수 없다.
enemy_007,가까이 와라. 한 번 붙잡히면 다시는 놓치지 않는다.,한 번 붙잡힌 먹잇감은 놓치지 않는다.
enemy_008,히히! 재미있는 일이 생길 것 같군!,히히히! 생각보다 훨씬 재미없게 끝났네!
enemy_009,약탈이든 싸움이든 뭐든 맡겨라!,주머니부터 뒤져 볼까? 뭐라도 나오겠지!
enemy_010,바다의 힘을 빌려 함께 싸우겠다.,파도에 휩쓸린 기분이 어땠나?
enemy_011,내 비명을 들으면 후회하게 될 거야.,"내 비명, 제대로 들었지?"
enemy_012,파도의 노래를 들려줄게. 함께 여행하자.,바다의 유혹은 거절하기 어려운 법이랍니다.
enemy_013,도망쳐도 소용없다. 결국 붙잡히게 될 테니까.,도망쳐도 결국 내 덩굴에서 벗어날 순 없었군.
enemy_014,하하하! 오늘 무대의 주인공은 우리야!,하하하! 오늘 최고의 공연은 네 패배였어!
enemy_015,정면승부는 취향이 아니야. 뒤는 나에게 맡겨.,방심하는 순간 끝이다. 그게 세상의 법칙이지.
enemy_016,강한 녀석을 쓰러뜨리는 게 제일 즐겁지!,하하! 겨우 이 정도 힘으로 덤빈 거냐!
enemy_017,……명령……따른다…….,……다음은……네 차례다…….
enemy_018,뼈만 남아도 싸울 수는 있다.,뼈만 남아도 너보단 오래 버티는군.
enemy_019,"흥미롭군요. 당신의 힘, 직접 확인해 보겠습니다.",실력 차이는 냉정한 법입니다. 더 수련하세요.
enemy_020,어둠 속에서 움직이는 건 내 특기지.,어둠 속에선 내가 한 수 위다.
enemy_021,오랜 잠에서 깨어났다. 이제 너를 지키겠다.,돌처럼 굳어 버렸군. 움직일 수도 없겠어.
enemy_022,날 상자라고 생각했다면 이미 늦었지.,상자 하나도 구별 못 하면서 보물을 노렸나?
enemy_023,하늘은 내 영역이야! 따라올 수 있겠어?,후후♪ 날개도 없이 하늘을 꿈꾼 대가야.
enemy_024,죽음은 누구에게나 찾아온다. 그때까지는 네 곁에 있지.,오늘은 네 차례였다. 다음에 다시 만날 때까지 살아남아라.
enemy_025,"후후, 이제부터는 네 곁에서 놀아줄게. 하지만 함부로 쓰다듬지는 마.",후후... 다음 생에는 좀 더 재미있게 놀아줘.
enemy_026,경계 태세 완료. 당신을 최우선으로 보호하겠다.,위협 제거 완료. 경계 상태를 유지한다.
enemy_027,시스템 기동. 모든 임무를 수행할 준비가 완료되었습니다.,타깃 무력화 확인. 임무를 종료합니다.
enemy_028,숲의 숨결을 당신과 함께 나누겠어요.,숲은 당신을 받아들이지 않았군요. 다음에는 더 강한 생명으로 찾아오세요.
enemy_029,반가워! 재미있는 모험이 될 것 같은 예감이 드는걸!,어라? 벌써 끝이야? 조금 더 놀고 싶었는데.
enemy_030,"킥킥! 장난도 좋지만, 싸움도 꽤 자신 있다고?",킥킥! 장난이 좀 심했나?
enemy_031,목표 식별 완료. 위협 요소를 감시합니다.,생체 반응 소실. 전투를 종료합니다.
enemy_032,희미한 불빛이라 얕보지 마라. 어둠은 내 편이다.,어둠을 따라온 자의 끝은 언제나 같지.
enemy_033,전투 모드 활성화. 적을 섬멸하겠습니다.,전투 결과: 적 제거. 모든 목표를 달성했습니다.
enemy_034,"맑은 물은 생명을 살리고, 거센 물결은 적을 삼켜요.",물결은 모든 것을 씻어 내립니다. 당신도 예외는 아니군요.
enemy_035,불꽃은 거짓말을 하지 않는다. 전력을 다해 싸우자.,불꽃은 약한 자를 남기지 않는다!
enemy_036,"달이 떠도 뜨지 않아도, 내 송곳니는 널 위해 싸운다.",하하하! 사냥은 끝났다!
enemy_037,작전 확인. 임무 완료까지 당신을 지원하겠습니다.,작전 성공. 예상 피해율 이내입니다.
