EventID,Seq,Type,Name,Text,Condition,Action,NextID,Race,Gender
POLITE,INTRO,TALK,,잠시 무기를 내려 주시겠어요? 서로 다치지 않고 이야기하고 싶어요.,,,RACE_LINE,,
POLITE,RACE_LINE,TALK,,서로 다른 곳에서 왔더라도 말은 통할 수 있겠지.,,,GENDER_LINE,,
POLITE,GENDER_LINE,TALK,,나는 {MonsterName}. 용건을 듣겠다.,,,OPEN,,
POLITE,OPEN,CHOICE,System,어떤 태도로 말을 걸까?,,,"OPEN_GENTLE,OPEN_THREAT,OPEN_REASON,OPEN_LEAVE",,
POLITE,OPEN_GENTLE,BRANCH,플레이어,[우호] 먼저 인사한다,,TONE:Gentle,REACT_GENTLE,,
POLITE,OPEN_THREAT,BRANCH,플레이어,[위압] 물러서지 않고 맞선다,,TONE:Threat,REACT_THREAT,,
POLITE,OPEN_REASON,BRANCH,플레이어,[설득] 협력할 이유를 설명한다,,TONE:Persuade,REACT_REASON,,
POLITE,OPEN_LEAVE,BRANCH,플레이어,[종료] 대화를 마친다,,,FAREWELL,,
POLITE,REACT_GENTLE,TALK,,먼저 말을 걸어 주셔서 고마워요. 당신의 이야기를 들어 볼게요.,,,CHECK_MOOD:ROUND2,,
POLITE,REACT_THREAT,TALK,,겁을 주시면 마음을 열기 어려워요. 말로 해결할 수는 없나요?,,,CHECK_MOOD:ROUND2,,
POLITE,REACT_REASON,TALK,,함께할 이유를 설명해 주시겠어요? 서로 도움이 된다면 좋겠네요.,,,CHECK_MOOD:ROUND2,,
POLITE,ROUND2,CHOICE,System,어떻게 대화를 이어 갈까?,,,"SECOND_RELIEVE,SECOND_FLIRT,SECOND_REQUEST,SECOND_INSULT",,
POLITE,SECOND_RELIEVE,BRANCH,플레이어,[안심] 서로 해치지 말자고 한다,,TONE:Relieve,REACT_RELIEVE,,
POLITE,SECOND_FLIRT,BRANCH,플레이어,[호감] 재치 있게 칭찬한다,,TONE:Flirt,REACT_FLIRT,,
POLITE,SECOND_REQUEST,BRANCH,플레이어,[요청] 내 사정을 설명한다,,TONE:Request,REACT_NEED,,
POLITE,SECOND_INSULT,BRANCH,플레이어,[모욕] 상대를 깎아내린다,,TONE:Insult,REACT_INSULT,,
POLITE,REACT_RELIEVE,TALK,,그 말을 들으니 조금 안심이 돼요. 저도 경계를 풀어 볼게요.,,,CHECK_MOOD:NEGO_START,,
POLITE,REACT_FLIRT,TALK,,"칭찬은 고맙지만, 지금은 서로의 생각부터 알아가고 싶어요.",,,CHECK_MOOD:NEGO_START,,
POLITE,REACT_INSULT,TALK,,그렇게 말씀하실 필요는 없잖아요. 더는 이야기를 나누고 싶지 않아요.,,,CHECK_MOOD:ANGRY,,
POLITE,NEGO_START,CHOICE,,당신이 바라는 일이 무엇인지 조금 더 알고 싶어요.,,,"THIRD_REASON,THIRD_REQUEST,THIRD_MAD,THIRD_LEAVE",,
POLITE,THIRD_REASON,BRANCH,플레이어,[설득] 서로의 역할과 책임을 설명한다,,TONE:Persuade,REACT_PLAN,,
POLITE,THIRD_REQUEST,BRANCH,플레이어,[요청] 도움이 필요하다고 말한다,,TONE:Request,REACT_REQUEST,,
POLITE,THIRD_MAD,BRANCH,플레이어,[화냄] 답답하다며 화를 낸다,,TONE:Mad,REACT_MAD,,
POLITE,THIRD_LEAVE,BRANCH,플레이어,[종료] 대화를 마친다,,,FAREWELL,,
POLITE,REACT_PLAN,TALK,,서로를 지키며 나아가자는 뜻이군요. 그 마음은 기억할게요.,,,CHECK_MOOD:GOAL,,
POLITE,REACT_REQUEST,TALK,,도움이 필요하시군요. 제가 할 수 있는 일인지 생각해 볼게요.,,,CHECK_MOOD:GOAL,,
POLITE,REACT_MAD,TALK,,화를 내시면 함께 이야기하기 어려워요. 조금 진정해 주세요.,,,CHECK_MOOD:GOAL,,
POLITE,GOAL,CHOICE,,"마지막으로, 제게 무엇을 바라시나요?",,,"ASK_JOIN,ASK_ITEM,ASK_LEAVE",,
POLITE,ASK_JOIN,BRANCH,플레이어,[동료] 함께 가자고 제안한다,,TONE:Persuade,JOIN_CHECK,,
POLITE,ASK_ITEM,BRANCH,플레이어,[보상] 물품이나 다른 도움을 요청한다,,,REWARD_CHOICE,,
POLITE,ASK_LEAVE,BRANCH,플레이어,[종료] 여기서 대화를 마친다,,,FAREWELL,,
POLITE,JOIN_CHECK,TALK,,당신과 함께 걸어도 될지 생각해 볼게요.,,,CHECK_MOOD:TRADE:Recruit,,
POLITE,ITEM_CHECK,TALK,,여행에 보탬이 될 물건을 드릴 수 있을지 살펴볼게요.,,,CHECK_MOOD:TRADE:Item,,
POLITE,SUCCESS_RECRUIT,TALK,,좋아요. 서로를 지켜 주는 동료가 되기로 해요.,,,END,,
POLITE,FAIL_RECRUIT,TALK,,지금은 함께할 수 없겠어요. 저마다 사정이 있으니까요.,,,END,,
POLITE,SUCCESS_ITEM,TALK,,이 물건이 도움이 되길 바라요. 조심해서 가세요.,,,END,,
