name,id,Skill,Element,Type,Target,Power,Accuracy,MPCost,StatusEffect,statusEffectChance,TargetCondition,PassiveOrCondition,Description
AGI,skl_000,Agi,Fire,Attack,Single_Enemy,40,95,4,None,0,,,적 1명에게 소량의 화염 속성 대미지를 준다.
AGILAO,skl_001,Agilao,Fire,Attack,Single_Enemy,90,95,8,None,0,,,적 1명에게 중량의 화염 속성 대미지를 준다.
AGIDYNE,skl_002,Agidyne,Fire,Attack,Single_Enemy,180,95,16,None,0,,,적 1명에게 대량의 화염 속성 대미지를 준다.
MARAGI,skl_003,Maragi,Fire,Attack,All_Enemies,30,90,8,None,0,,,적 전체에게 소량의 화염 속성 대미지를 준다.
MARAGION,skl_004,Maragion,Fire,Attack,All_Enemies,75,90,16,None,0,,,적 전체에게 중량의 화염 속성 대미지를 준다.
MARAGIDYNE,skl_005,Maragidyne,Fire,Attack,All_Enemies,150,90,32,None,0,,,적 전체에게 대량의 화염 속성 대미지를 준다.
BUFU,skl_006,Bufu,Ice,Attack,Single_Enemy,40,95,4,None,0,,,적 1명에게 소량의 빙결 속성 대미지를 준다.
BUFULA,skl_007,Bufula,Ice,Attack,Single_Enemy,90,95,8,None,0,,,적 1명에게 중량의 빙결 속성 대미지를 준다.
BUFUDYNE,skl_008,Bufudyne,Ice,Attack,Single_Enemy,180,95,16,None,0,,,적 1명에게 대량의 빙결 속성 대미지를 준다.
MABUFU,skl_009,Mabufu,Ice,Attack,All_Enemies,30,90,8,None,0,,,적 전체에게 소량의 빙결 속성 대미지를 준다.
MABUFULA,skl_010,Mabufula,Ice,Attack,All_Enemies,75,90,16,None,0,,,적 전체에게 중량의 빙결 속성 대미지를 준다.
MABUFUDYNE,skl_011,Mabufudyne,Ice,Attack,All_Enemies,150,90,32,None,0,,,적 전체에게 대량의 빙결 속성 대미지를 준다.
ZIO,skl_012,Zio,Elec,Attack,Single_Enemy,40,95,4,None,0,,,적 1명에게 소량의 전격 속성 대미지를 준다.
ZIOGA,skl_013,Zioga,Elec,Attack,Single_Enemy,90,95,8,None,0,,,적 1명에게 중량의 전격 속성 대미지를 준다.
ZIODYNE,skl_014,Ziodyne,Elec,Attack,Single_Enemy,180,95,16,None,0,,,적 1명에게 대량의 전격 속성 대미지를 준다.
MAZIO,skl_015,Mazio,Elec,Attack,All_Enemies,30,90,8,None,0,,,적 전체에게 소량의 전격 속성 대미지를 준다.
MAZIOGA,skl_016,Mazioga,Elec,Attack,All_Enemies,75,90,16,None,0,,,적 전체에게 중량의 전격 속성 대미지를 준다.
MAZIODYNE,skl_017,Maziodyne,Elec,Attack,All_Enemies,150,90,32,None,0,,,적 전체에게 대량의 전격 속성 대미지를 준다.
ZAN,skl_018,Zan,Force,Attack,Single_Enemy,40,95,4,None,0,,,적 1명에게 소량의 충격 속성 대미지를 준다.
ZANMA,skl_019,Zanma,Force,Attack,Single_Enemy,90,95,8,None,0,,,적 1명에게 중량의 충격 속성 대미지를 준다.
