EventID,Seq,Type,Speaker,CharacterID,Text,Condition,Action,NextID
OUTPOST_1,1,TALK,,chr_01,뭔가 불길하네...,None,None,2
OUTPOST_1,2,TALK,,chr_01,꼭 가야하는 거야?,None,None,END

OUTPOST_2,1,TALK,???,npc,이보게 젊은이. 이 앞으로 가려는 건가?,None,None,2
OUTPOST_2,2,TALK,???,npc,그렇다면 조심하는 게 좋아. 이 앞은 E입자에 심하게 오염되었다네.,None,None,3
OUTPOST_2,3,TALK,???,npc,나 같은 몬스터가 언제 튀어나올지 모른다고. 껄껄껄.,None,None,END

EVT_GUARD_MEET,1,TALK,무장경찰,npc,거기 서라! 통행증은 있나?,None,None,2
EVT_GUARD_MEET,2,CHOICE,System,npc,(행동을 선택하세요),None,None,"3, 4"
EVT_GUARD_MEET,3,BRANCH,플레이어,npc,[공격한다],None,BATTLE:guard_mob,END
EVT_GUARD_MEET,4,BRANCH,플레이어,npc,[돈을 준다],HasItem:Gold_100,REMOVE:Gold_100,5
EVT_GUARD_MEET,5,TALK,무장경찰,npc,"흐흠, 이번만 봐주지.",None,SET_FLAG:passed_guard,END
